autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"GUIMARÃES, José Augusto Chaves","MILANI, Suellen Oliveira","EVANGELISTA, Isadora Victorino",,,,,,,,,,,Encontros Bibli,2015
"GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis","FERREIRA, Gustavo Meletti",,,,,,,,,,,Scire (Zaragoza),2012
"GUIMARÃES, José Augusto Chaves","SANTOS, André Ynada dos","CÂNDIDO, Gilberto Gomes","PINHO, Fabio Assis",,,,,,,,,,Scire (Zaragoza),2014
"GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,,,,,Knowledge Organization,2015
"GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,,Ciência da Informação (Online),2015
"HILÁRIO, Carla Mara","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Revista EDICIC,2011
"INÁCIO, Mariana de Oliveira","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Revista EDICIC,2011
"INAFUKO, Laura Akie Saito","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Encontros Bibli,2012
"JORENTE, Maria José Vicentini","NAKANO, Natalia",,,,,,,,,,,,Informação & Informação (UEL. Online),2012
"JORENTE, Maria José Vicentini","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2014
"JORENTE, Maria José Vicentini","SILVA, Anahi Rocha","PIMENTA, Ricardo Medeiros",,,,,,,,,,,Liinc em Revista,2015
"JORENTE, Maria José Vicentini",,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2011
"JORENTE, Maria José Vicentini",,,,,,,,,,,,,Informação & teconologia,2014
"JORENTE, Maria José Vicentini",,,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2012
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Informação & Informação (UEL. Online),2015
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Revista EDICIC,2011
"KAWABATA, Priscila Etsuco","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Revista Brasileira de Educação em Ciência da informação,2015
"LANZI, Lucirene Andréa Catini","FERNEDA, Edberto","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,Revista Ciência em Extensão,2011
"LANZI, Lucirene Andréa Catini","SANTOS, Camila Araújo dos","VIDOTTI, Silvana Aparecida Borsetti Gregorio","CASTRO,  Rosane Michelli de",,,,,,,,,,Revista Sensos-e,2015
"LANZI, Lucirene Andréa Catini","VECHIATO, Fernando Luiz","FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio","CASARIN, Helen de Castro Silva",,,,,,,,,Informação & Informação (UEL. Online),2013
"LANZI, Lucirene Andréa Catini","FERNEDA, Edberto","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,Informação & Sociedade (UFPB. Online),2014
"LEMOS, Joana Gusmão","NAKANO, Natalia","JORENTE, Maria José Vicentini",,,,,,,,,,,Liinc em Revista,2014
"LIBERATORE, Gustavo","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2012
"LIMA, Lidyane Silva","SOARES, Carolina Ferreira","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,Revista EDICIC,2011
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,,,,,European Journal of Academic Research,2014
"LOPES, Elaine Cristina","ALMEIDA JÚNIOR, Oswaldo Francisco de","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Em Questão,2011
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim","FADEL, Bárbara",,,,,,,,,,,Revista FAMECOS (Online),2014
