autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"CAMILLO, Everton da Silva ","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Biblionline (João Pessoa),2016
"CASTRO FILHO, Cláudio Marcondes de ",,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2016
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"ALMEIDA, Marco Antônio de  ","CRIPPA, Giulia",,,,,,,Arquivos do CMD,2016
"CRIPPA, Giulia",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"CAMILLO, Everton da Silva ",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"SOUZA, Willian Eduardo Righini de ","CRIPPA, Giulia",,,,,,,Conexão: Comunicação e Cultura,2016
"CRIPPA, Giulia",,,,,,,,Revista de Nutrição,2010
"CRIPPA, Giulia","LASTORIA, Andréa Coelho",,,,,,,ETD : Educação Temática Digital,2010
"RODRIGUES, Bruno Cesar ","CRIPPA, Giulia",,,,,,,Revista Educaonline,2010
"NAKAMURA, Mariany Toriyama ","CRIPPA, Giulia",,,,,,,Discursos Fotográficos (Online),2010
"CRIPPA, Giulia","BISOFFI, Glória Carolina",,,,,,,Transinformação,2010
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Saeculum (UFPB),2010
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Encontros Bibli,2010
"CRIPPA, Giulia",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"DAMIAN, Ieda Pelogia Martins",,,,,,,,Em Questão,2016
"DAMIAN, Ieda Pelogia Martins","SILVA, Márcia Regina da",,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"SILVA, Luara Cantarella","DAMIAN, Ieda Pelogia Martins","SANTAREM SEGUNDO, José Eduardo",,,,,,Biblos (Rio Grande),2016
"SAMPAIO, Tiago Borges de Abreu ","DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,Revista da FAE,2010
"RODRIGUES, Priscila Alves ","DAMIAN, Ieda Pelogia Martins",,,,,,,Revista Primeiros Passos,2010
"CONEGLIAN, Caio Saraiva","SOUZA, Jessica Oliveira de","SANTAREM SEGUNDO, José Eduardo",,,,,,Brazilian Journal of Information Science,2016
"MOSTAFA, Solange Puntel ","SANTAREM SEGUNDO, José Eduardo","SABBAG, Deise Maria Antônio",,,,,,Informação & Sociedade (UFPB),2016
"SANTAREM SEGUNDO, José Eduardo","CONEGLIAN, Caio Saraiva",,,,,,,Informação & Informação (UEL),2016
"MONTEIRO, Elizabete Cristina de Souza de Aguiar","SANT'ANA, Ricardo César Gonçalves","SANTAREM SEGUNDO, José Eduardo",,,,,,Informação em Pauta,2016
"CONEGLIAN, Caio Saraiva  ","FUSCO, Elvis","SANTAREM SEGUNDO, José Eduardo","PEREIRA JUNIOR, Valdir Amancio","BOTEGA, Leonardo Castro",,,,Advances in Intelligent Systems and Computing,2016
"CONEGLIAN, Caio Saraiva","SANTAREM SEGUNDO, José Eduardo",,,,,,,Encontros Bibli,2016
"LIMA, Fábio Rogério Batista","SANTOS, Placida Leopoldina Ventura Amorim da Costa","SANTAREM SEGUNDO, José Eduardo",,,,,,Perspectivas em Ciência da Informação,2016
"SANTAREM SEGUNDO, José Eduardo","CAMARGO, Liriane Soares de Araújo","SHINTAKU, Milton","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2010
"GARCIA, Leonardo Guimarães",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"LAMPOGLIA, Francis","BASTOS, Gustavo Grandini","SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa",,,,,Entremeios,2016
"TERRA, Marcos Vinícius Santos de Carvalho ","GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,Entremeios,2016
"GARCIA, Dantielli Assumpção ","ROMÃO, Lucília Maria Sousa",,,,,,,Estudos Linguísticos,2016
"ISHIMOTO, Adonai Takeshi ","ROMÃO, Lucília Maria Sousa",,,,,,,Biblionline (João Pessoa),2016
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Línguas & Letras (UNIOESTE),2016
"ALMEIDA, João Flávio","GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa","PRANDI, Maria Beatriz Ribeiro",,,,,Discursos Fotográficos (Online),2016
"ROMÃO, Lucília Maria Sousa ",,,,,,,,RESGATE - Revista Interdisciplinar de Cultura,2016
