autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"AGUIAR, Giseli Adornato de","SILVA, José Fernando Modesto da",,,,,,,Revista CRB-8 Digital,2014
"AGUIAR, Giseli Adornato de","SILVA, José Fernando Modesto da",,,,,,,Tendências da Pesquisa em Ciência da Informação,2014
"STAL, Eva ","FUJINO, Asa",,,,,,,Revista de Administração (São Paulo. Online),2016
"VALENTE, Nelma Teresinha Zubaik ","FUJINO, Asa",,,,,,,Perspectivas em Ciência da Informação,2016
"STAL, Eva ","ANDREASSI, Tales","FUJINO, Asa",,,,,,RAI : Revista de Administração e Inovação,2016
"MARICATO, João de Melo ","NORONHA, Daisy Pires","FUJINO, Asa",,,,,,Perspectivas em Ciência da Informação,2010
"PASSARELLI, Brasilina",,,,,,,,Ciência da Informação (Impresso),2016
"PASSARELLI, Brasilina ","VETRITTI, Fabiana Grieco Cabral de Mello",,,,,,,Suplemento Signos EAD,2016
"PASSARELLI, Brasilina","SALLA,Thiago Mio","TAVERNARI, Mariana",,,,,,Prisma.com,2010
"LUZ, Charlley dos Santos ","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2016
"AZEVEDO, Elizabeth Ferreira Cardoso Ribeiro","SANTOS, Cibele Araujo Camargo Marques dos","LOURENCO, Andréia Alves Ferreira",,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
"LIMA, Vânia Mara Alves","SANTOS, Cibele Araujo Camargo Marques dos","ROZESTRATEN, Artur Simões"," MARQUES, Eliana de Azevedo","SAMPAIO, Letícia Almeida",,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
"PALETTA, Francisco Carlos ","LIMA, Carina","SILVA, Mariana Gonzaga","AUGUSTO, Marcia","MARTINS, Vanessa",,,,Revista ACB (Florianópolis),2016
"PALETTA, Francisco Carlos ","MILANESI, Luiz Augusto",,,,,,,Informação & Sociedade (UFPB. Online),2016
"PALETTA, Francisco Carlos","MANSOLDO, Priscila",,,,,,,Revista Inteligência Competitiva,2016
"PALETTA, Francisco Carlos","GONCALVES, Vanessa Juliana da Silva",,,,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2016
"PALETTA, Francisco Carlos",,,,,,,,"Cadernos de Educação, Tecnologia e Sociedade",2016
"PALETTA, Francisco Carlos","PRADO, Ana Carolina Rodrigues do",,,,,,,Biblionline (João Pessoa),2016
"PALETTA, Francisco Carlos ","PELISSARO, Barbara",,,,,,,Revista Conhecimento em Ação,2016
"PERROTTI, Edmir  ","PIERUCCINI, Ivete",,,,,,,Mediadoc,2016
"PASSOS, Marcos Paulo de ","PIERUCCINI, Ivete",,,,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2016
"PIERUCCINI, Ivete ",,,,,,,,Informação@Profissões,2016
"SILVA, José Fernando Modesto da",,,,,,,,Perspectivas em Ciência da Informação,2010
"SILVA, José Fernando Modesto da",,,,,,,,Perspectivas em Ciência da Informação,2010
"SILVA, José Fernando Modesto da",,,,,,,,Perspectivas em Ciência da Informação,2010
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,,Periódico Permanente,2016
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,,Políticas Clturais em Revista,2010
"PINTO, Daniela Maciel","SANTOS, Marcelo dos",,,,,,,Tendências da Pesquisa em Ciência da Informação,2016
"ANDRADE, Julietti de","LARA, Marilda Lopes Ginez de",,,,,,,Knowledge Organization,2016
"ORTEGA, Cristina Dotta ","LARA, Marilda Lopes Ginez de",,,,,,,Datagramazero (Rio de Janeiro),2010
"ORTEGA, Cristina Dotta","LARA, Marilda Lopes Ginez de",,,,,,,Transinformação,2010
"MAZINI, Elizabeth Sardelli ","LARA, Marilda Lopes Ginez de",,,,,,,Transinformação,2010
"SANTANA, Solange Alves","FRANCELIN, Marivalde Moacir",,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
"ARAUJO, Juliana Ferreira de","FRANCELIN, Marivalde Moacir",,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
"FRANCELIN, Marivalde Moacir","PINTO, Adilson Luiz",,,,,,,Coletâneas do Nosso Tempo,2010
"LIMA, Edson Sampaio de","GALEGALE, Napoleão Verardi","ARIMA, Carlos Hideo","CÔRTES, Pedro Luiz",,,,,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),2016
"CÔRTES, Pedro Luiz ","RODRIGUES, Rosely ",,,,,,,Brazilian Journal of Science and Technology,2016
"CÔRTES, Pedro Luiz ","DIAS, António Guerner","FERNANDES, Maria Eduarda da Silva Teixeira","PAMPLONA, Jorge Manuel Vieira",,,,,Ambiente & Sociedade (Online),2016
"GODOI, Haroldo Bueno de  ","PASCHOALIN FILHO, João Alexandre","CÔRTES, Pedro Luiz","DIAS, António Guerner",,,,,Espacios (Caracas),2016
"CÔRTES, Pedro Luiz ","AGUIAR, Alexandre Oliveira","GALLARDO, Amarilis Lucia Casteli Figueiredo","QUARESMA, Cristiano Capellani ",,,,,"Revista em Gestão, Inovação e Sustentabilidade",2016
"MUGNAINI, Rogério","POBLACIÓN, Dinah Apparecida de Melo Aguiar",,,,,,,"RECIIS. Revista eletrônica de comunicação, informação & inovação em saúde",2010
"CROZATTI, Jaime ","MUGNAINI, Rogério","RODRIGUES, Guilherme Mendonça","PEDRUCCI, Sheyla Aparecida Tavares",,,,,Revista das Faculdades Santa Cruz,2010
"LIMA, Vânia Mara Alves ","COSTA, Ivani Di Grazia","GUIMARÃES, Magda de Oliveira",,,,,,Art Documentation,2016
