Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"MAIMONE, Giovana Deliberali ","TALAMO, Maria de Fátima Gonçalves Moreira",,,,,,Congresso Brasileiro de Organização e Representação do Conhecimento,2015
"MAIMONE, Giovana Deliberali ","TALAMO, Maria de Fátima Gonçalves Moreira",,,,,,Conferencia Internacional de Bibliotecología,2014
"MAIMONE, Giovana Deliberali","SILVEIRA, Naira Christofoletti ",,,,,,Encontro Ibèrico EDICIC,2015
"LUZ, Charlley dos Santos","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2015
"LUCAS, Elaine Rosangela de Oliveira","LARA, Marilda Lopes Ginez de",,,,,,Encontro Brasileiro de Bibliometria e Cientometria (EBBC),2014
"LUCAS, Elaine Rosangela de Oliveira","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"LUCAS, Elaine Rosangela de Oliveira","LARA, Marilda Lopes Ginez de","GONZALEZ, José Antonio Moreiro",,,,,Congresso ISKO Espanha/Portugal,2013
"LIMA, Vânia Mara Alves",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"LIMA, Vânia Mara Alves",,,,,,,Congresso Brasileiro de Organização e Representação do Conhecimento,2015
"LIMA, Vânia Mara Alves","VITORIANO, Fabiana Gulin Longhi","BARBANTI, Cristina Hilsdorf",,,,,Congresso Brasileiro de Organização e Representação do Conhecimento,2015
"LIMA, Vânia Mara Alves","SANTOS, Cibele Araujo Camargo Marques dos","VOGEL, Michely Jabala Mamede",,,,,Congresso ISKO Espanha/Portugal,2013
"LIMA, Vânia Mara Alves","COSTA, Ivani di Grazia","WAINER, Luiza","GUIMARAES, Magda de Oliveira","OLIVEIRA, Camila Fernanda","RUEDA, Valéria Matias da Silva ","SILVA, Fernanda Ferreira da",Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
"LEMOS, Charlene Kathlen de","OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,Forum de Bibliotecas Publicas,2011
"LEMOS, Charlene Kathlen de","OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"LARA, Marilda Lopes Ginez de",,,,,,,Encontro Nacional dos Estudantes de Museologia,2012
"LARA, Marilda Lopes Ginez de ",,,,,,,Jornada Científica Internacional da Rede Mussi,2012
"LARA, Marilda Lopes Ginez de ",,,,,,,Colóquio Internacional da Rede MUSSI,2014
"LARA, Marilda Lopes Ginez de",,,,,,,Congresso Brasileiro de Organização e Representação do Conhecimento,2011
"LARA, Marilda Lopes Ginez de","TALAMO, Maria de Fátima Gonçalves Moreira",,,,,,Simposio de RITerm,2012
"LARA, Marilda Lopes Ginez de","ORTEGA, Cristina Dotta",,,,,,Congreso Capítulo Español de ISKO,2011
"LARA FILHO, Durval de","LARA, Marilda Lopes Ginez de",,,,,,Colóquio Internacional da Rede MUSSI,2011
"KOBASHI, Nair Yumiko","SANTOS, Cibele Araujo Camargo Marques dos","SANTOS, Raimundo Nonato Macedo dos","SANTOS, Marcelo dos ",,,,Colóquio Internacional da Rede MUSSI,2011
"JUNQUEIRA, Antônio Hélio ","PASSARELLI, Brasilina","BOTELHO, Rodrigo Eduardo Francisco",,,,,Congresso Brasileiro de Ciências da Comunicação,2012
"HYODO, Tatiana","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"GONZALES, José Antônio Moreiro","VERGUEIRO, Waldomiro de Castro Santos","PALETTA, Francisco Carlos",,,,,International Conference on Information Systems and Technology Management (CONTECSI),2015
"GOLDEMBERG, José","PALETTA, Francisco Carlos","RACHED, Alia",,,,,International Symposium on Alcohol Fuels (ISAF),2011
