Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"INAFUKO, Laura Akie Saito","FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio","MARSULO, Thabyta Giraldelli","SANTOS, Gabriel Oblasser dos",,,,,,,Seminário em Ciência da Informação (SECIN),2011
"HILÁRIO, Carla Mara","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"HALICKI, Jaqueline Pereira Carvalho","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de",,,,,,,,,,North American Symposium on Knowledge Organization – NASKO,2013
"GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis","CÂNDIDO, Gilberto Gomes","MOTTA, Bruna Gisele",,,,,,,,IFLA WLIC,2014
"GUIMARÃES, José Augusto Chaves","OCHOLLA, Dennis","OCHOLLA, Lyudmila","OLSON, Hope A.","GLOVER, Jeanette R.",,,,,,,IFLA WLIC,2012
"GUIMARÃES, José Augusto Chaves","MOREIRO GONZALES, José Antonio","ALENCAR, Maíra Fernandes",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"GUIMARÃES, José Augusto Chaves","MILANI, Suellen Oliveira",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"GUIMARÃES, José Augusto Chaves","FERNANDEZ-MOLINA, Juan Carlos","BARITÉ, Mário",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
