idPeriodico,nome,avaliacao,webqualis,classificacao
257,Revista Brasileira de Gestão e Desenvolvimento Regional,Interdisciplinar,B1,Nacional
142,Revista Comunicação Midiática,Comunicação e Informação,B1,Nacional
290,Revista de Administração (São Paulo. Online),Comunicação e Informação,B1,Nacional
357,Revista de Administração Pública (Impresso),Comunicação e Informação,B1,Nacional
15,Revista Digital de Biblioteconomia e Ciência da Informação,Comunicação e Informação,B1,Nacional
368,Revista Eco-Pós (Online),Comunicação e Informação,B1,Nacional
200,Revista Ibero-Americana de Ciência da Informação,Comunicação e Informação,B1,Nacional
27,Rumores (USP),Comunicação e Informação,B1,Nacional
8,Tecnologia Educacional,Ensino,B1,Nacional
271,Tempo e Argumento,Interdisciplinar,B1,Nacional
136,Tendências da Pesquisa Brasileira em Ciência da Informação,Comunicação e Informação,B1,Nacional
34,Revista Brasileira de Biblioteconomia e Documentação,Comunicação e Informação,B1,Nacional
171,Ágora,Comunicação e Informação,B1,Nacional
278,Ciência da Informação (Impresso),Comunicação e Informação,B1,Nacional
80,Produção (São Paulo. Impresso),Interdisciplinar,B1,Nacional
377,Advances in Intelligent Systems and Computing,Administração publica,B2,Internacional
169,Annals of Library and Information Studies,Comunicação e Informação,B2,Internacional
296,Brazilian Journal of Science and Technology,Administração publica,B2,Internacional
311,Business Process Management Journal,Interdisciplinar,B2,Internacional
100,DYNA (Medellín),Administração publica,B2,Internacional
104,Espacios (Caracas),Comunicação e Informação,B2,Internacional
153,HIb: Revista de Historia Iberoamericana,Interdisciplinar,B2,Internacional
64,Redes.com (Sevilla),Comunicação e Informação,B2,Internacional
275,Revista Ciencias de la Documentación,Comunicação e Informação,B2,Internacional
134,"Revista Electrónica Iberoamericana Sobre Calidad, Eficacia y Cambio en Educación",Interdisciplinar,B2,Internacional
161,Revista Iberoamericana de Ciencia Tecnología y Sociedad (En Línea),Interdisciplinar,B2,Internacional
42,Acervo,Comunicação e Informação,B2,Nacional
1,Ângulo (FATEA. Impresso),Interdisciplinar,B2,Nacional
340,Cadernos de Linguagem e Sociedade,Interdisciplinar,B2,Nacional
260,Comunicacao e Educacao (USP),Comunicação e Informação,B2,Nacional
251,Concinnitas (Online),Comunicação e Informação,B2,Nacional
347,Conexão Letras,Comunicação e Informação,B2,Nacional
360,Contextus (Fortaleza),Administração publica,B2,Nacional
333,Discursos Fotográficos (Online),Comunicação e Informação,B2,Nacional
97,Estudos de Sociologia,Interdisciplinar,B2,Nacional
95,ETD : Educação Temática Digital,Interdisciplinar,B2,Nacional
379,Fragmentum (UFSM),Letras e Linguística ,B2,Nacional
33,Future Studies Research Journal,Ensino,B2,Nacional
116,Gestão & Produção (UFSCAR. Impresso),Comunicação e Informação,B2,Nacional
319,Gragoatá (UFF),Interdisciplinar,B2,Nacional
325,Língua e Instrumentos Linguísticos,Interdisciplinar,B2,Nacional
112,Materials Research (São Carlos. Impresso),Interdisciplinar,B2,Nacional
118,Pesquisa & Desenvolvimento Engenharia de Produção,Interdisciplinar,B2,Nacional
